idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
107349,-0.192,0.246,-0.047,-55.2,-44.7,-4.1,9.938,376.938,-8.438,100.784,37.522,190.031,43.647,5.38,41156.77,9111.17
107350,-0.182,0.256,-0.043,-45.6,-44.5,0.2,8.812,372.812,-8.688,99.533,34.997,186.542,43.687,5.29,40950.88,9167.53
107351,-0.136,0.264,-0.038,-47.3,-45.3,11.3,9.75,370.5,-9,98.189,26.916,175.718,43.659,5.27,40739.53,9223.75
107352,-0.199,0.262,-0.045,-57.6,-45.5,19.2,9.75,367.125,-8.562,99.739,36.878,171.48,43.655,5.37,40510.8,9285.74
107353,-0.089,0.29,-0.04,-68.7,-44.3,12.5,10.125,362.375,-8.062,97.86,16.884,175.422,43.666,5.32,40294.72,9345.13
107354,-0.214,0.229,-0.028,-67.7,-44.2,2.8,7.938,358.625,-8.625,97.035,42.766,181.893,43.663,5.39,40072.28,9406.24
107355,-0.093,0.288,-0.013,-55.2,-44.3,-4.2,10.25,356.812,-8.125,92.523,17.834,185.317,43.655,5.37,39847.72,9468.18
107356,-0.081,0.258,-0.049,-45.8,-45.2,-1.3,10.062,356.188,-7.688,100.724,17.166,189.68,43.669,5.39,39642.79,9525.73
107357,-0.135,0.245,-0.037,-47.3,-44.6,11.8,9.938,354.938,-8.438,98.609,28.529,175.503,43.673,5.4,39427.74,9586.17
107358,-0.116,0.223,-0.02,-59.2,-44.7,18.5,11.875,353,-7.562,95.013,27.471,168.869,43.689,5.33,39222.56,9644.58
107359,-0.1,0.208,-0.056,-68.7,-44.9,13.1,8.75,351.438,-8.375,104.982,24.825,179.268,43.689,5.34,39013.47,9703.98
107360,-0.147,0.198,-0.03,-67.7,-44.7,2.6,10.25,350.75,-9.375,98.683,36.328,182.954,43.699,5.3,38815.94,9760.76
107361,-0.085,0.237,-0.018,-56.2,-44.1,-4,11.125,348,-8.312,94.236,19.649,186.117,43.707,5.33,38622.27,9816.7
107362,-0.106,0.224,-0.018,-46.1,-44.2,0.9,10.625,346.25,-8.25,94.494,25.385,182.426,43.711,5.32,38430.54,9872.29
107363,-0.119,0.176,-0.041,-45.7,-44.1,11.8,9.062,342.062,-8.812,103.134,33.427,178.669,43.705,5.35,38239.65,9927.64
107364,-0.148,0.19,-0.026,-56.3,-43.9,18.8,9.875,339.75,-8.688,97.883,37.672,170.168,43.707,5.35,38048.54,9983.65
107365,-0.117,0.196,-0.013,-68.9,-43.9,14.6,8.25,334.688,-7.375,93.701,30.785,171.864,43.714,5.34,37862.88,10038.56
107366,-0.107,0.196,-0.026,-69.8,-44.7,3.6,7.812,331.25,-8.375,97.651,28.475,181.65,43.719,5.25,37690.11,10089.87
107367,-0.109,0.158,-0.023,-59.6,-43.8,-3.3,9.438,325.375,-8,98.427,34.368,187.517,43.75,5.28,37513.52,10143.46
107368,-0.126,0.176,-0.019,-47.9,-44.8,-1.7,7.375,322.812,-7.75,96.026,35.478,185.638,43.708,5.28,37337.64,10194.78
107369,-0.122,0.164,-0.036,-44.4,-44.9,6.5,7.938,319.312,-8.562,102.42,36.003,183.03,43.757,5.27,37170.08,10246.81
107370,-0.082,0.174,-0.022,-51.9,-43.8,16,5.562,314.25,-7.125,97.363,25.08,171.206,43.729,5.26,36995.45,10298.79
107371,-0.089,0.166,-0.023,-63.2,-44,17.7,6.438,312.5,-7.875,98.036,27.925,171.639,43.734,5.21,36823.44,10351.31
107372,-0.126,0.158,0.003,-70.2,-44.2,12,6.625,308.812,-7.438,88.939,38.525,171.149,43.744,5.25,36662.72,10400.85
107373,-0.109,0.146,-0.019,-66.9,-43.7,1.7,7.688,307.625,-6.938,97.219,36.529,182.734,43.777,5.24,36498.19,10452.56
107374,-0.096,0.15,-0.019,-56.5,-44.9,-3.8,7.438,303.188,-7.062,97.033,32.275,187.405,43.754,5.24,36335.9,10502.03
107375,-0.097,0.128,-0.019,-47.6,-44.7,-0.3,7.75,302.688,-8,98.253,36.793,185.934,43.755,5.23,36167.34,10554.48
107376,-0.102,0.128,-0.015,-44.9,-44,6.8,7.062,299.688,-7.25,96.532,38.531,178.404,43.759,5.26,36012.77,10602.95
107377,-0.039,0.161,-0.008,-52,-43.9,17.5,7.562,297.938,-7.062,92.776,13.612,165.885,43.765,5.26,35857.63,10651.93
107378,-0.053,0.138,-0.008,-62,-43.1,17.2,7.625,295.75,-7.75,93.247,20.925,168.686,43.763,5.23,35702.02,10701.03
107379,-0.078,0.149,-0.001,-68.9,-43.4,13,8.125,293.75,-7.062,90.374,27.603,171.1,43.771,5.17,35551.35,10749.16
107380,-0.075,0.134,-0.014,-68.7,-43.9,4.1,8.125,291.438,-6.812,95.835,29.211,180.27,43.778,5.18,35396.22,10798.9
107381,-0.056,0.138,-0.009,-58.2,-44.9,-2.1,6.812,288.812,-7.688,93.652,21.971,184.01,43.778,5.19,35252.4,10845.06
107382,-0.061,0.116,-0.009,-48.8,-44.6,-0.2,6.75,287.438,-9.438,94.325,27.83,183.191,43.808,5.15,35106.57,10893.09
107383,-0.071,0.126,-0.011,-45.8,-44.1,5.6,8.688,286.688,-9.062,94.874,29.416,178.299,43.78,5.19,34963.33,10938.53
107384,-0.085,0.103,-0.023,-50,-43.7,13,8.25,284.562,-8.438,102.758,38.677,177.429,43.785,5.15,34821.62,10984.86
107385,-0.057,0.117,-0.007,-59.3,-43.5,19.6,6.938,281.062,-8.188,93.338,25.758,166.827,43.785,5.13,34681.06,11030.85
107386,-0.067,0.115,-0.021,-67.3,-43.5,15.1,7.312,279.5,-8.188,100.561,29.892,175.153,43.804,5.11,34544.8,11076.3
107387,-0.069,0.099,0.001,-69.2,-44.1,6.1,6.625,276.875,-8.312,89.433,35.105,175.439,43.804,5.12,34415.87,11118.88
107388,-0.068,0.1,0.001,-64.3,-44.1,-1.1,5.125,274.5,-8.375,89.438,34.46,180.491,43.796,5.11,34277.05,11164.65
107389,-0.054,0.091,-0.017,-54.1,-44.3,-2.7,5.5,270.688,-8.5,100.359,30.189,188.823,43.798,5.08,34152.62,11206.2
107390,-0.049,0.103,-0.011,-46.7,-43.6,2.1,4.688,267.188,-8.562,95.925,25.135,182.272,43.815,5.14,34021.69,11250.61
107391,-0.071,0.089,0.004,-45.9,-44.6,9.5,5.438,264.25,-8.125,87.483,38.71,169.767,43.817,5.11,33891.42,11294.49
107392,-0.073,0.096,0.001,-51.8,-44.4,16.2,5.938,261.75,-7.688,89.415,37.426,166.243,43.809,5.03,33766.46,11336.44
107393,-0.062,0.081,-0.008,-60.2,-44,17.3,4.438,257.062,-7.5,95.505,37.507,170.223,43.815,5.03,33644.43,11378.07
107394,-0.06,0.081,0.005,-67.3,-43,14.9,3.438,253.875,-8.125,86.553,36.264,167.557,43.829,5.02,33523.13,11419.88
107395,-0.045,0.085,0.007,-69.5,-44.2,6.5,4.25,251.938,-9,85.4,27.791,173.012,43.858,5,33407.79,11460.42
107396,-0.072,0.074,0.01,-64.7,-43.6,-1.5,6.562,249.062,-8.062,82.504,43.99,176.866,43.823,5,33285.4,11501.23
107397,-0.05,0.065,-0.005,-55.7,-44.4,-3.3,6.375,245.688,-6.562,94.268,37.202,185.308,43.829,4.99,33165.89,11542.68
